Store,Type,Url
Dirk,Caramel,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/koffie-cacao/starbucks%20discoveries%20caramel%20macchiato/5481
Dirk,Cappuccino,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/koffie-cacao/starbucks%20cappuccino/13423
Dirk,NoSugar,https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/koffie-cacao/starbucks%20ijskoffie%20skinny%20latte/77967
AH,Cappuccino,https://www.ah.nl/producten/product/wi365872/starbucks-cappuccino-ijskoffie
AH,Caramel,https://www.ah.nl/producten/product/wi195024/starbucks-caramel-macchiato-ijskoffie
AH,NoSugar,https://www.ah.nl/producten/product/wi223367/starbucks-caffe%CC%80-latte-no-added-sugar-ijskoffie
Jumbo,Cappuccino,https://www.jumbo.com/producten/starbucks-chilled-coffee-cappuccino-ijskoffie-220ml-577382BKR
Jumbo,Caramel,https://www.jumbo.com/producten/starbucks-chilled-coffee-caramel-macchiato-ijskoffie-220ml-577173PAK
Jumbo,NoSugar,https://www.jumbo.com/producten/starbucks-caffe-latte-no-added-sugar-ijskoffie-220ml-577170BUS
Plus,Cappuccino,https://www.plus.nl/product/starbucks-chilled-ijskoffie-cappuccino-beker-220-ml-691005
Plus,Caramel,https://www.plus.nl/product/starbucks-chilled-ijskoffie-caramel-macchiato-beker-220-ml-796788
Plus,NoSugar,https://www.plus.nl/product/starbucks-caffe-latte-no-added-sugar-ijskoffie-beker-220-ml-641455
AH,TrippleShot,https://www.ah.nl/producten/product/wi550510/starbucks-tripleshot-espresso-ijskoffie
AH,TrippleShotNoSugar,https://www.ah.nl/producten/product/wi550511/starbucks-tripleshot-espresso-no-added-sugar
Jumbo,TrippleShot,https://www.jumbo.com/producten/starbucks-tripleshot-espresso-ijskoffie-300-ml-541944BLK
Jumbo,TrippleShotNoSugar,https://www.jumbo.com/producten/starbucks-tripleshot-espresso-no-added-sugar-ijskoffie-300-ml-541943STK
